Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
7/14/2005,248.9732819,250.7390498,248.9732819,248.9732819,78330000,0,0
7/15/2005,248.9732819,250.7390498,248.9732819,248.9732819,196430000,0,0
7/18/2005,250.7390289,250.7390289,250.7390289,250.7390289,124750000,0,0
7/19/2005,248.9732611,250.7390289,248.9732611,250.7390289,158950000,0,0
7/20/2005,252.9068313,258.3262634,251.100354,258.3262634,201500000,8,0
7/21/2005,258.3262634,260.1327408,256.5197861,258.3262634,136330000,0,0
7/22/2005,258.3263242,258.3263242,252.9068909,252.9068909,183590000,0,0
7/25/2005,252.9068509,256.5198059,252.9068509,256.5198059,118040000,0,0
7/26/2005,256.5197472,261.9391785,256.5197472,261.9391785,292560000,0,0
7/27/2005,261.9391982,263.7456754,260.1327209,260.1327209,123170000,0,0
7/28/2005,261.9391785,263.7456556,260.1327014,261.9391785,42030000,0,0
7/29/2005,261.93925,265.5522051,261.93925,263.7457275,71420000,0,0
8/1/2005,263.7456556,265.5521327,261.9391785,261.9391785,147580000,0,0
8/2/2005,261.9392508,269.1651611,261.9392508,269.1651611,140120000,0,0
8/3/2005,269.1652721,276.3911854,269.1652721,272.7782288,249980000,0,0
8/4/2005,274.5845736,276.391051,270.9716187,270.9716187,156730000,0,0
8/5/2005,270.9715863,270.9715863,263.7456773,265.5521545,67040000,0,0
8/8/2005,263.7456556,263.7456556,261.9391785,261.9391785,126220000,0,0
8/9/2005,261.9392384,261.9392384,254.7133284,256.5198059,333520000,0,0
8/10/2005,258.3262437,261.9391982,258.3262437,260.1327209,114420000,0,0
8/11/2005,260.1327408,260.1327408,256.5197861,258.3262634,96480000,0,0
8/12/2005,256.5198465,256.5198465,252.9068909,252.9068909,155300000,0,0
8/15/2005,252.9068595,252.9068595,242.0679941,247.4874268,1148470000,0,0
8/16/2005,247.487422,249.2938995,247.487422,249.2938995,122380000,0,0
8/18/2005,249.2938995,251.1003771,245.6809445,249.2938995,415680000,0,0
8/19/2005,247.4874151,247.4874151,236.6485502,240.2615051,853380000,0,0
8/22/2005,238.4550934,245.6810053,238.4550934,238.4550934,153560000,0,0
8/23/2005,240.2615714,252.9069172,238.4550934,238.4550934,421430000,0,0
8/24/2005,238.4550276,243.8744601,234.8420727,240.2615051,580810000,0,0
8/25/2005,240.2615119,251.1003771,238.4550343,249.2938995,188130000,0,0
8/26/2005,245.6809235,247.4874008,240.2614913,245.6809235,97660000,0,0
8/29/2005,243.8745273,243.8745273,234.8421374,238.4550934,562120000,0,0
8/30/2005,234.842093,251.1003918,224.0032272,243.8744812,482700000,0,0
8/31/2005,249.2939043,251.1003819,245.6809492,247.4874268,179340000,0,0
9/1/2005,245.6809697,252.9068806,242.0680142,251.1004028,144910000,0,0
9/5/2005,249.2939141,249.2939141,243.8744812,243.8744812,159490000,0,0
9/6/2005,245.6809235,249.2938782,245.6809235,245.6809235,259390000,0,0
9/7/2005,247.487422,251.1003771,247.487422,249.2938995,218200000,0,0
9/8/2005,251.1004028,254.7133583,249.2939251,251.1004028,318950000,0,0
9/9/2005,251.100354,260.1327408,251.100354,258.3262634,440210000,0,0
9/12/2005,258.3262243,263.7456556,258.3262243,261.9391785,608990000,0,0
9/13/2005,261.9392433,261.9392433,252.9068556,254.7133331,532880000,0,0
9/14/2005,252.906833,254.7133104,245.6809235,245.6809235,272480000,0,0
9/15/2005,245.6809235,249.2938782,245.6809235,245.6809235,106760000,0,0
9/16/2005,247.4874268,251.1003819,245.6809492,247.4874268,274620000,0,0
9/19/2005,252.9068546,252.9068546,247.487422,249.2938995,361170000,0,0
9/20/2005,249.2939251,252.9068806,247.4874474,251.1004028,650380000,0,0
9/21/2005,251.1004028,251.1004028,251.1004028,251.1004028,0,0,0
9/22/2005,251.1003819,251.1003819,240.2615165,247.4874268,489040000,0,0
9/23/2005,243.8744812,245.6809588,242.0680036,243.8744812,63350000,0,0
9/26/2005,243.8744716,252.9068595,243.8744716,247.4874268,314210000,0,0
9/27/2005,243.8744461,247.4874008,243.8744461,245.6809235,184660000,0,0
9/28/2005,245.6809376,245.6809376,238.4550276,240.2615051,75250000,0,0
9/29/2005,245.6809235,247.4874008,236.6485366,245.6809235,284010000,0,0
9/30/2005,249.2938995,249.2938995,245.6809445,249.2938995,159610000,0,0
10/3/2005,249.2938995,249.2938995,243.8744669,249.2938995,192690000,0,0
10/4/2005,260.1327209,260.1327209,249.2938576,260.1327209,556150000,0,0
10/5/2005,254.7133331,260.1327657,249.2939005,254.7133331,198820000,0,0
10/6/2005,254.7133331,254.7133331,249.2939005,254.7133331,137980000,0,0
